,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,"('زعيم طالبان',)","('السلام', 'السلام')","('كابول', 'كابول')",,
1,20140404_2580.txt,"('شرطي أفغاني', 'شرطي أفغاني', 'صحافية ألمانية', 'مسلح')","('يقتل', 'قتل', 'قتل', 'قتل', 'أصيبت', 'يقتل')","('صحافية', 'صحافية', 'المصورة الألمانية', 'المراسلة', 'الصحافي', 'الصحافي')","('خوست', 'تاناي')",
2,20180220_2591.txt,"('تنظيم الدولة الاسلامية', 'حركة طالبان')","('هجوماتهما',)","('فندقا',)",,"('كابول',)"
3,20111229_6821.txt,,,,,
4,20141202_10663.txt,,,,,
5,20150726_6750.txt,"('طالبان', 'داعش', 'طالبان', 'داعش')","('مقتل', 'مقتل')",,,
6,20141127_10426.txt,"('افغانيين', 'طالبان')","('عملية انتحارية', 'عملية انتحارية', 'قتلوا', 'اختطفوا')","('للسفارة البريطانية', 'للسفارة البريطانية', 'المدنيين', 'مسئولاً حكوميًا')","('داشت الرشي',)","('قندز', 'قندز')"
7,20141229_11819.txt,"('ايساف', 'لحلف الأطلسي')","('بانتشار',)","('جندي',)",,
8,20140407_2822.txt,,"('انفجار لغم', 'انفجار لغم', 'انفجار لغم')","('مدنيا', 'مدنيا', 'مدنيا')",,"('قندهار',)"
9,20140907_7201.txt,"('مسلحين',)","('مقتل', 'قتل', 'هجوم', 'لقي مصرعه', 'قتل', 'قتل')","('شخصا', 'شخصا', 'عناصر شرطة', 'مسلحون', 'نقطة تفتيش', 'رجل شرطة', 'رجل شرطة', 'مسلحون', 'مسلحا')","('غازني', 'تشيشت', 'باراكي باراك')","('هرات', 'لوجار')"
10,20150913_8528.txt,"('طائرات امريكية', 'طائرات امريكية')","('مقتل', 'ارة جوية', 'ارة جوية', 'ارة جوية')","('مسلحين', 'مسلحين', 'مسلحين')",,"('نانغارهار', 'نانغارهار', 'نانغارهار')"
11,20181018_798.txt,,"('هجوم', 'إصابة', 'هجوم')","('الجنرال الأميركي', 'قائد القوات الأميركية', 'أميركيين')",,"('قندهار',)"
12,20140715_5682.txt,,"('انفجار', 'قتل', 'انفجار', 'تفجير سيارته')","('سوق', 'شخصاً', 'سوق', 'سوق')","('اورغون',)","('بكتيكا', 'بكتيكا')"
13,20120920_3990.txt,,"('تفجير انتحاري', 'تفجير انتحاري', 'تفجير انتحاري', 'مقتل', 'انتحاري بتفجير')","('أشخاص', 'أشخاص', 'أشخاص', 'ضابطي شرطة', 'مواطن افغاني', 'قوات الشرطة')","('كابول', 'ميروايس مينا')","('قندهار',)"
14,20150730_7009.txt,,,,,
15,20140607_4340.txt,"('طالبان',)","('هجوم الإرهابي', 'هجوم الإرهابي', 'مقتل')","('مدنيين',)","('كابول', 'كابول')",
16,20120225_4383.txt,,"('مقتل', 'مقتل')","('ضابطين امريكيين', 'ضابطين')","('كابول', 'كابول', 'كابول')",
17,20110924_4859.txt,,,,,
18,20180326_4135.txt,,,,,
19,20181128_2673.txt,,,,,
20,20110623_2837.txt,,,,,
21,20120804_2184.txt,,,,,
22,20140322_2227.txt,,"('الهجوم الإرهابي', 'الهجوم')","('فندق', 'فندق', 'مدنيين')","('كابول',)",
23,20081122_26.txt,,,,,
24,20111007_5103.txt,,,,,
25,20140923_7897.txt,"('عمليات أمنية', 'قوات الامن الافغانية', 'قوات الشرطة', 'قوات الجيش', 'المخابرات', 'قوات الامن الافغانية')","('مقتل', 'قتل', 'لتطهير', 'قتل')","('مسلحا', 'مسلحا', 'الارهابيين', 'مسلحا', 'طالبان')",,
26,20170203_1596.txt,,,,,
27,20141015_9041.txt,"('قوات الأمن',)","('تفجير', 'انفجرت', 'عمليات', 'قتلوا', 'انفجرت')","('رجال الأمن', 'رجال الأمن', 'قرية زانى خيل', 'الانتحاريين', 'افراد الامن')","('نادر شاه كوت',)","('خوست', 'خوست', 'خوست')"
28,20111004_5051.txt,,,,,
