,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,"('زعيم طالبان',)","('السلام', 'السلام')","('كابول', 'كابول')",,
1,20140404_2580.txt,"('شرطي أفغاني', 'شرطي أفغاني')","('يقتل', 'قتل')","('صحافية', 'صحافية')",,
2,20180220_2591.txt,"('تنظيم الدولة الاسلامية', 'حركة طالبان')","('هجوماتهما',)","('فندقا',)",,"('كابول',)"
3,20111229_6821.txt,,,,,
4,20141202_10663.txt,,,,,
5,20150726_6750.txt,"('طالبان', 'داعش', 'طالبان', 'داعش')","('مقتل', 'مقتل')",,,
6,20141127_10426.txt,"('افغانيين',)","('عملية انتحارية', 'عملية انتحارية', 'قتلوا')","('للسفارة البريطانية', 'للسفارة البريطانية')",,
7,20141229_11819.txt,"('ايساف', 'لحلف الأطلسي')","('بانتشار',)","('جندي',)",,
8,20140407_2822.txt,,"('انفجار لغم', 'انفجار لغم', 'انفجار لغم')","('مدنيا', 'مدنيا', 'مدنيا')",,
9,20140907_7201.txt,,"('مقتل', 'قتل')","('شخصا', 'شخصا', 'عناصر شرطة', 'مسلحون')",,
10,20150913_8528.txt,"('طائرات امريكية',)","('مقتل', 'ارة جوية', 'ارة جوية')","('مسلحين', 'مسلحين')",,
11,20181018_798.txt,,"('هجوم', 'إصابة')","('الجنرال الأميركي', 'قائد القوات الأميركية', 'أميركيين')",,"('قندهار',)"
12,20140715_5682.txt,,"('انفجار', 'قتل', 'انفجار')","('سوق', 'شخصاً')",,"('بكتيكا',)"
13,20120920_3990.txt,,"('تفجير انتحاري', 'تفجير انتحاري')","('أشخاص', 'أشخاص', 'أشخاص')","('كابول',)",
14,20150730_7009.txt,,,,,
15,20140607_4340.txt,"('طالبان',)","('هجوم الإرهابي', 'هجوم الإرهابي')",,"('كابول',)",
16,20120225_4383.txt,,"('مقتل', 'مقتل')","('ضابطين امريكيين', 'ضابطين')","('كابول', 'كابول')",
17,20110924_4859.txt,,,,,
18,20180326_4135.txt,,,,,
19,20181128_2673.txt,,,,,
20,20110623_2837.txt,,,,,
21,20120804_2184.txt,,,,,
22,20140322_2227.txt,,"('الهجوم الإرهابي', 'الهجوم')","('فندق', 'فندق', 'مدنيين')","('كابول',)",
23,20081122_26.txt,,,,,
24,20111007_5103.txt,,,,,
25,20140923_7897.txt,"('عمليات أمنية', 'قوات الامن الافغانية')","('مقتل', 'قتل')","('مسلحا', 'مسلحا')",,
26,20170203_1596.txt,,,,,
27,20141015_9041.txt,,"('تفجير', 'انفجرت')","('رجال الأمن',)",,"('خوست', 'خوست', 'خوست')"
28,20111004_5051.txt,,,,,
29,20151212_12182.txt,,"('مقتل', 'قتل')","('السفارة الاسبانية', 'عناصر الشرطة الأفغانية', 'إسبانيان')","('كابول',)",
30,20180501_5483.txt,,"('مقتل',)","('نساء', 'أطفال')",,"('كابل', 'كابل', 'قندهار')"
31,20180127_1471.txt,"('طالبان',)","('انفجار', 'انفجار', 'انفجار')",,,"('كابل', 'كابل')"
32,20150225_2028.txt,,,,,
33,20181009_391.txt,,"('هجومًا انتحاريًا', 'للهجوم الانتحاري', 'مقتل')","('مرشح انتخابي',)",,"('هلمند',)"
34,20140707_5496.txt,,,,,
35,20181020_999.txt,,"('انفجارات', 'انفجارات', 'انفجارات')","('مراكز التصويت',)","('كابول', 'كابول')",
36,20081022_56.txt,,,,,
37,20140320_2090.txt,"('طالبان',)","('قتل', 'الهجوم')","('شرطيين', 'مركزا للشرطة')","('جلال اباد',)",
38,20170209_1972.txt,"('مسلحون', 'مسلحون')","('يقتلون',)","('اشخاص', 'عضو بمجلس مقاطعة باغلان')",,"('باغلان',)"
39,20170422_4737.txt,"('طالبان',)","('الهجوم', 'الهجوم')","('قاعدة عسكرية أفغانية', 'قاعدة عسكرية أفغانية', 'جندي')",,
40,20180127_1365.txt,,"('تفجير', 'التفجير الإرهابي')","('بضحايا', 'بضحايا')",,"('كابول', 'كابول')"
41,20170326_3711.txt,,,,,
42,20110621_2838.txt,,,,,
43,20110620_2729.txt,,,,,
44,20180304_3434.txt,"('لولايات المتحدة',)","('ارسلت', 'لتدريب', 'ارسلت')","('كتيبة جنود', 'جنود الافغان')",,
45,20111103_5665.txt,,,,,
46,20150518_4671.txt,"('طالبان', 'طالبان')","('تهاجم', 'هجوما')","('نقاط تفتيش أمنية', 'نقاط تفتيش أمنية')",,
47,20120313_5756.txt,"('الناتو',)","('مقتل', 'مقتل')","('المدنيين الأفغان', 'مدنيا')",,"('قندهار',)"
48,20150701_6053.txt,,"('هجوم', 'هجوم انتحاري')","('للناتو', 'لقوات حلف شمال الأطلسي')","('كابول', 'كابول')",
49,20140926_8160.txt,"('طالبان', 'طالبان')","('مقتل', 'قتل')","('الأشخاص',)","('كابول',)",
50,20180410_4572.txt,,"('مقتل', 'انفجار', 'انفجار')","('مدنيين',)",,"('هرات', 'هرات')"
51,20120703_2938.txt,"('أفغاني', 'أفغاني')","('يقتل', 'قتل')","('جنود بريطانيين', 'الناتو')",,
