,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140404_2580.txt,"('شرطي', 'شرطي', 'طالبان')","('قتل', 'أطلق', 'قتل', 'قتل', 'إطلاق نار', 'قتل', 'أصيب', 'قتل', 'تعهدت مرارا بتعطيل')","('صحافية', 'امرأتين', 'صحافية', 'صحافية', 'المراسلة', 'الانتخابات الرئاسية', 'تاناي', 'المراسلة', 'المراسلة', 'صحافية', 'الانتخابات الرئاسية')",,"('خوست',)"
2,20180220_2591.txt,,"('هجوم', 'استهدف')","('فندقا',)","('كابول',)",
3,20111229_6821.txt,,,,,
4,20141202_10663.txt,,,,,
5,20150726_6750.txt,"('طالبان',)","('قتل', 'اشتباكات', 'قتل', 'اشتباكات')","('طالبان', 'داعش', 'طالبان', 'داعش')",,
6,20141127_10426.txt,"('طالبان', 'طالبان')","('مصرع', 'عملية انتحارية', 'مصرع', 'عملية انتحارية', 'إصابة', 'جروح', 'قتلوا', 'أصيب', 'العملية الانتحارية', 'قتل', 'مصاب', 'اختطفوا')","('لسفارة البريطانية', 'لسفارة البريطانية', 'المدنيين', 'مسئولاً حكوميًا')","('العاصمة الأفغانية كابل', 'منطقة داشت الرشي')",
7,20141229_11819.txt,,,,,
8,20140407_2822.txt,"('طالبان', 'طالبان', 'طالبان')","('انفجار', 'قتل', 'انفجار', 'يودي بحياة', 'قتل', 'انفجار', 'ضحايا', 'انفجار', 'أصيب', 'انفجار', 'هددت', 'قتل', 'انفجار')","('مدنيا', 'مدنيا', 'مدنيا', 'النساء', 'الأطفال')",,"('قندهار',)"
9,20140907_7201.txt,"('مسلحون', 'شرطة')","('قتل', 'إصابة', 'قتل', 'أصيب', 'ن', 'قتل', 'هجوم', 'لقي مصرعه', 'أصيب', 'قتل', 'أصيب', 'انفجار', 'أصيب', 'النار', 'قتل', 'أصيب', 'اشتباكات')","('شرطة', 'مسلحون', 'شرطة', 'مسلحين', 'نقطة تفتيش', 'شرطة', 'شرطة', 'شرطة', 'شرطة', 'نقطة تفتيش', 'شرطة', 'مسلحا', 'شرطة', 'طالبان', 'طالبان')","('غازني', 'تشيشت', 'باراكي باراك')","('هرات', 'لوجار')"
10,20150913_8528.txt,"('طائرات امريكية', 'طائرات امريكية')","('قتل', 'غارة جوية', 'مصرعهم', 'غارة جوية', 'قتل', 'غارة جوية')","('مسلحين', 'مسلحين', 'مسلحين')","('لال بور',)","('نانغارهار', 'نانغارهار', 'نانغارهار')"
11,20181018_798.txt,"('الجنرال الأميركي ميلر', 'الجنرال سكوت ميلر')","('نجاة', 'هجوم مسلح', 'نجاة', 'إطلاق نار', 'إصابة', 'هجوم', 'جرح')","('أميركيين', 'أمريكيين')",,"('ولاية قندهار',)"
12,20140715_5682.txt,"('طالبان',)","('قتيل', 'جريح', 'انفجار', 'قتل', 'اصيب', 'انفجار', 'هاجم', 'تفجير', 'تفجير', 'لهجوم', 'قتل', 'اصيب', 'انفجار', 'تفجير', 'تفجير')",,"('منطقة اورغون',)","('ولاية بكتيكا', 'إقليم بكتيكا')"
13,20120920_3990.txt,,"('مصرع', 'تفجير انتحاري', 'مصرع', 'تفجير انتحاري', 'مصرع', 'اصيب', 'تفجير انتحاري', 'استهدف', 'التفجير', 'قتل', 'اصابة', 'انفجار', 'انتحاري', 'تفجير')","('شرطة', 'شرطة', 'مواطن افغاني', 'شرطة', 'شرطة', 'شرطة')","('ميروايس مينا',)","('قندهار',)"
14,20150730_7009.txt,,,,,
15,20140607_4340.txt,,"('هجوم', 'هجوم', 'انفجار', 'قتل', 'إصابة', 'جروح', 'هجوم')","('مدنيين', 'عبد الله عبد الله', 'مدنيين')","('العاصمة الأفغانية', 'العاصمة الأفغانية', 'كابول', 'كابول')",
16,20120225_4383.txt,"('حلف شمال الاطلسي', 'ناتو', 'حلف الاطلسي')","('قتل', 'اطلاق النار', 'قتل', 'اطلق النار', 'قتل', 'الاحتجاجات', 'حرق')","('وزارة الداخلية', 'وزارة الداخلية')","('كابول', 'كابول', 'كابول')",
17,20110924_4859.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان', 'طالبان')","('انتحار', 'انتحار')",,,"('غزني',)"
18,20180326_4135.txt,,,,,
19,20181128_2673.txt,,,,,
20,20110623_2837.txt,,,,,
21,20120804_2184.txt,,,,,
22,20140322_2227.txt,,"('هجوم الإرهابي', 'هجوم', 'استهدف', 'ضحيت', 'هجمات')","('فندق', 'فندق', 'ضحيته', 'مدنيين', 'نساء', 'أطفا', 'أجانب')","('العاصمة الأفغانية', 'كابول')",
23,20081122_26.txt,,,,,
24,20111007_5103.txt,,,,,
25,20140923_7897.txt,"('قوات الامن الافغانية', 'قوات الشرطة', 'قوات الجيش', 'المخابرات الوطنية', 'قوات الامن الافغانية', 'قوات الشرطة')","('قتل', 'قتل', 'اصيب', 'قتل', 'اصيب', 'القبض', 'صادرت')","('مسلحا', 'مسلحا', 'طالبان', 'الاسلحة', 'طالبان')",,
26,20170203_1596.txt,,,,,
27,20141015_9041.txt,"('قوات الأمن', 'انتحاريين')","('مصرع', 'إصابة', 'تفجير', 'انفجر', 'مصرع', 'إصابة', 'اكتشفت', 'استهداف', 'قتلوا', 'انفجر', 'قتل', 'أصابة')","('رجال الأمن', 'رجال الأمن', 'انتحاريين', 'منشآت أمنية', 'انتحاريين', 'افراد الامن')","('مدينة خوست', 'نادر شاه كوت')","('مقاطعة خوست',)"
28,20111004_5051.txt,,"('اغتيال', 'اغتيال', 'اغتيال', 'قتل', 'اغتيال', 'قتل', 'قتل', 'اصيب', 'جروح', 'هجومين انتحاريين', 'هجوم', 'هجوم', 'الانفجار', 'هجوم', 'فجر', 'انتحاري', 'قتل', 'اصيب', 'جروح')","('برهان الدين رباني', 'برهان الدين رباني', 'مدنيان')",,"('قندهار', 'قندهار')"
29,20151212_12182.txt,"('مسلحون', 'طالبان', 'طالبان', 'م')","('قتل', 'إصابة', 'فك الحصار', 'قتل', 'المهاجمين', 'فك الحصار', 'الحصار', 'قتل', 'المهاجمين', 'إصابة', 'هجوم', 'إطلاق نار', 'هجوم', 'هاجموا', 'المعركة', 'هجوم', 'حتفهم', 'هجوم')","('السفارة الاسبانية', 'الشرطة الأفغانية', 'إسبان', 'السفارة الإسبانية', 'السفارة الإسبانية', 'الشرطة', 'إسبان', 'مدنيين', 'مطار مدينة قندهار')","('العاصمة الأفغانية كابول', 'منطقة ""شيربور""', 'العاصمة كابول', 'و', 'مدينة قندهار')",
30,20180501_5483.txt,,"('الهجومين الإرهابيين', 'مقتل', 'إصابة', 'الهجومين', 'الهجومين الإرهابيين', 'مقتل', 'إصابة', 'استهداف', 'الهجومين', 'هجومين', 'استهداف', 'الهجومين', 'الهجومين')","('شخصاً', 'شخصاً', 'نساء', 'أطفال', 'مسعفون', 'صحافيون', 'شخصاً', 'شخصاً', 'الصحافيين', 'عاملي الطوارىء')",,"('كابل', 'قندهار', 'كابل', 'قندهار')"
