,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140404_2580.txt,"('شرطي أفغاني', 'شرطي أفغاني')","('يقتل', 'النار', 'قتل', 'قتلت', 'إطلاق نار')","('صحافية', 'امرأتين', 'صحافية', 'صحافية ألمانية')",,"('خوست', 'قيام')"
2,20180220_2591.txt,"('تنظيم الدولة الاسلامية', 'طالبان')","('هجوم', 'استهدف')","('فندقا',)","('كابول',)",
3,20111229_6821.txt,,,,,
4,20141202_10663.txt,,,,,
5,20150726_6750.txt,"('طالبان', 'داعش', 'طالبان', 'داعش')","('مقتل', 'اشتباكات', 'مقتل', 'اشتباكات')","('طالبان', 'داعش', 'طالبان', 'داعش')",,
6,20141127_10426.txt,"('مسلحين', 'طالبان', 'طالبان')","('مصرع', 'عملية انتحارية', 'استهدفت', 'مصرع', 'عملية انتحارية', 'استهدفت', 'إصابة', 'قتلوا', 'أصيب', 'العملية الانتحارية', 'قتل', 'اختطفوا')","('افغانيين', 'آلية', 'سفارة البريطانية', 'أفغانيان', 'آلية', 'سفارة البريطانية', 'الأفغان', 'أشخاص', 'أشخاص', 'المصابين', 'المدنيين', 'الأفغان', 'مسئولاً حكوميًا')","('كابل', 'كابل', 'كابل')",
7,20141229_11819.txt,"('أمريكا', 'الناتو', 'الولايات المتحدة', 'حلف شمال الأطلسي', 'الناتو', 'الناتو')","('غزو', 'أنهت', 'غزو')","('مهمات قواتهم',)","('كابول',)",
8,20140407_2822.txt,"('طالبان', 'طالبان', 'طالبان')","('انفجار', 'يقتل', 'انفجار', 'يودي بحياة', 'قتل', 'انفجار', 'انفجار', 'أصيب', 'انفجار', 'هددت', 'إفساد', 'زرع الألغام', 'قتل', 'انفجار')","('مدنيا', 'مدنيا', 'مدنيا', 'النساء', 'الأطفال', 'الانتخابات', 'الانتخابات', 'الانتخابات')",,"('قندهار',)"
9,20140907_7201.txt,"('مسلحين', 'مسلحون', 'عناصر مسلحة', 'طالبان', 'طالبان')","('مقتل', 'إصابة', 'قتل', 'أصيب', 'قتل', 'هجوم', 'مصرع', 'أصيب', 'قتل', 'أصيب', 'انفجار', 'أصيب', 'النار', 'قتل', 'أصيب', 'اشتباكات', 'أ')","('شخصا', 'شخصا', 'شرطة', 'مسلحون', 'شرطة', 'مسلحين', 'نقطة تفتيش', 'شرطة', 'شرطة', 'شرطة', 'شرطة', 'نقطة تفتيش', 'شرطة', 'مسلحا', 'شرطة', 'الشرطة المحلية الأفغانية')","('غازني', 'تشيشت', 'باراكي باراك')","('غازني', 'هرات', 'لوجار')"
10,20150913_8528.txt,"('طائرات امريكية', 'طائرات امريكية')","('مقتل', 'غارة جوية', 'مصرعهم', 'غارة جوية', 'قتلوا', 'غارة جوية')","('مسلحين', 'مسلحين', 'مسلحين')","('لال بور',)","('نانغارهار', 'نانغارهار', 'نانغارهار')"
11,20181018_798.txt,"('الجنرال الأميركي', 'الجنرال الأميركي ميلر', 'الجنرال سكوت ميلر')","('نجاة', 'هجوم مسلح', 'نجاة', 'إطلاق نار', 'إصابة', 'الهجوم', 'جرح')","('أميركيين', 'أمريكيين')",,"('قندهار',)"
12,20140715_5682.txt,,"('انفجار', 'قتل', 'انفجار', 'قتل', 'انفجار')","('شخصاً', 'شخصين')","('كابول',)","('بكتيكا', 'بكتيكا')"
13,20120920_3990.txt,,"('مصرع', 'تفجير انتحاري', 'مصرع', 'تفجير انتحاري', 'مصرع', 'اصيب', 'تفجير انتحاري', 'استهدف', 'مقتل', 'اصابة', 'انفجار')","('أشخاص', 'أشخاص', 'أشخاص', 'شرطة', 'ضابطي', 'شرطة', 'مواطن', 'ضباط', 'شرطة')","('كابول', 'ميروايس مينا')","('قندهار',)"
14,20150730_7009.txt,,,,,
15,20140607_4340.txt,"('طالبان', 'القاعدة', 'طالبان', 'القاعدة')","('الهجوم الإرهابي', 'الهجوم الإرهابي', 'مقتل', 'إصابة', 'الهجوم')","('مدنيين', 'مدنيين')","('العاصمة', 'العاصمة', 'كابول', 'العاصمة', 'كابول')",
16,20120225_4383.txt,,,,,
17,20110924_4859.txt,,,,,
18,20180326_4135.txt,,,,,
19,20181128_2673.txt,,,,,
20,20110623_2837.txt,,,,,
21,20120804_2184.txt,,,,,
22,20140322_2227.txt,,"('الهجوم الإرهابي', 'الهجوم', 'استهدف', 'ضحيته')","('فندق', 'فندقاً', 'مدنيين', 'نساء', 'أطفال', 'رعايا أجانب')","('كابول',)",
23,20081122_26.txt,,,,,
24,20111007_5103.txt,,,,,
25,20140923_7897.txt,"('قوات الامن الافغانية', 'الشرطة', 'الجيش', 'المخابرات', 'قوات الامن الافغانية', 'الشرطة')","('مقتل', 'قتل', 'اصيب', 'تطهير', 'قتل', 'اصيب', 'القبض على', 'صادرت')","('مسلحا', 'مسلحا', 'مسلحا', 'طالبان', 'طالبان')",,
26,20170203_1596.txt,,,,,
