,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140407_2822.txt,"('طالبان', 'طالبان', 'طالبان')","('انفجار', 'يقتل', 'انفجار', 'يودي بحياة', 'قتل', 'انفجار', 'انفجار', 'أصيب', 'انفجار', 'هددت', 'إفساد', 'زرع الألغام', 'قتل', 'انفجار')","('مدنيا', 'مدنيا', 'مدنيا', 'النساء', 'الأطفال', 'الانتخابات', 'الانتخابات', 'الانتخابات')",,"('قندهار',)"
2,20150913_8528.txt,"('طائرات امريكية', 'طائرات امريكية')","('مقتل', 'غارة جوية', 'مصرعهم', 'غارة جوية', 'قتلوا', 'غارة جوية')","('مسلحين', 'مسلحين', 'مسلحين')","('لال بور',)","('نانغارهار', 'نانغارهار', 'نانغارهار')"
3,20140322_2227.txt,,"('الهجوم الإرهابي', 'الهجوم', 'استهدف', 'ضحيته')","('فندق', 'فندقاً', 'مدنيين', 'نساء', 'أطفال', 'رعايا أجانب')","('كابول',)",
4,20140923_7897.txt,"('قوات الامن الافغانية', 'الشرطة', 'الجيش', 'المخابرات', 'قوات الامن الافغانية', 'الشرطة')","('مقتل', 'قتل', 'اصيب', 'تطهير', 'قتل', 'اصيب', 'القبض على', 'صادرت')","('مسلحا', 'مسلحا', 'مسلحا', 'طالبان', 'طالبان')",,
5,20181020_999.txt,"('طالبان',)","('انفجارات', 'انفجارات', 'انفجارات', 'انفجارات', 'حذرت', 'هجمات')","('مراكز التصويت', 'الناس', 'مراكز الانتخابات')","('كابول', 'كابول', 'كابول', 'كابول')",
6,20150518_4671.txt,"('طالبان', 'طالبان', 'الجنود', 'المسلحين', 'طالبان', 'مسلحين', 'طالبان')","('تهاجم', 'هجوم', 'معركة نارية', 'هجوم', 'اطلاق نار')","('نقاط تفتيش', 'نقاط تفتيش', 'المسلحين', 'نقاط التفتيش')",,"('اوروزجان', 'بادغيس')"
7,20150701_6053.txt,"('انتحاري',)","('قتيل', 'جريح', 'هجوم', 'مقتل', 'إصابة', 'هجوم', 'هجوم انتحاري', 'استهدف', 'فجر', 'هجوم', 'هجوم', 'هجوم')","('ناتو', 'قوات حلف شمال الأطلسي', 'ناتو', 'ناتو', 'المدنيين')","('كابول', 'كابول', 'كابول', 'كابول', 'كابول')",
8,20140926_8160.txt,"('طالبان', 'طالبان')","('مقتل', 'هجمات', 'اجتاح', 'قتل')","('أشخاص',)","('كابول',)",
9,20170114_739.txt,"('داعش', 'داعش', 'داعش', 'الجماعة الإرهابية', 'داعش', 'داعش')","('يحرق', 'أحرق', 'إحراق', 'حرق', 'هجر', 'اقتحم', 'أحرق', 'أحرق')","('منزلا', 'منزلا', 'المنازل', 'منزلا', 'المنازل', 'المنازل', 'المنازل')","('كوت', 'بادا جوندا', 'بار سيباي', 'كوت')","('ننغارهار', 'ننغارهار')"
10,20180411_4597.txt,"('طالبان',)","('دمرت',)","('تماثيل بوذا',)",,
11,20140805_6137.txt,"('جندي افغاني', 'المعتدي', 'الجيش الافغاني', 'طائرة')","('مقتل', 'اصابة', 'قتل', 'اصاب', 'مقتل', 'هجوم', 'قتل', 'اطلق النيران', 'قتل', 'اصيب', 'اصاب', 'مقتل', 'هجوم', 'فتح النار', 'قتل', 'اصيب', 'هجوم', 'مقتل', 'فتح النار', 'هجوم', 'قتل', 'قتل', 'قتل', 'اطلاق صواريخ', 'غارات', 'قتل')","('جنرال اميركي', 'جنرال اميركي', 'رجل', 'الجنود الافغان', 'حلف شمال الاطلسي', 'جنرال اميركي', 'المعتدي', 'اميركيا', 'ضابط اجنبي', 'الجيش الافغاني', 'ضابط اجنبي', 'الضباط الافغان', 'الجيش الافغاني', 'حلف شمال الاطلسي', 'الجيش الافغاني', 'المعتدي', 'قاعدة شينداد الجوية', 'رجل', 'امراة', 'طفل', 'فتى', 'المدنيين')","('كابول', 'كابول', 'كابول')",
12,20170421_7322.txt,"('طالبان', 'طالبان', 'مسلحون', 'مسلحا', 'الجيش', 'الجيش', 'طالبان', 'طالبان')","('مقتل', 'هجوم', 'قتل', 'أصيب', 'هجوم', 'هجوم', 'يقاوم', 'قتل', 'جريحا', 'مقتل', 'اعتقال', 'اطلاق النار', 'هجوم', 'هجوم', 'قتل', 'هجوم', 'هجوم', 'استهدف')","('جنود', 'جنود', 'قاعدتهم', 'العسكريين', 'العسكريين', 'المهاجمين', 'المهاجمين', 'قوات الجيش', 'جنود', 'مستشفى عسكريا')","('مزار الشريف', 'مزار الشريف', 'كابول')","('بلخ',)"
