,File,Sources,Actions,Targets,Districts,Provinces
0,20150923_8840.txt,,"('توفي', 'وفاة')","('الملا عمر', 'الملا عمر', 'الملا عمر')",,
1,20140407_2822.txt,,"('انفجار', 'قتل', 'انفجار', 'يودي بحياة')","('مدنيا', 'مدنيا')",,
2,20150913_8528.txt,,"('قتل', 'غارة جوية', 'مصرعهم', 'غارة جوية')","('مسلحين', 'مسلحين')",,
3,20140322_2227.txt,,"('هجوم الإرهابي', 'هجوم', 'استهدف')","('فندق', 'فندق')","('العاصمة الأفغانية',)",
4,20140923_7897.txt,"('قوات الامن الافغانية',)","('قتل', 'قتل', 'اصيب')","('مسلحا', 'مسلحا')",,
5,20181020_999.txt,,"('انفجارات', 'انفجارات', 'انفجارات')","('مراكز التصويت',)","('كابول', 'كابول')",
6,20150518_4671.txt,"('طالبان', 'طالبان')","('هاجم', 'هجوم')","('نقاط تفتيش', 'نقاط تفتيش')",,
7,20150701_6053.txt,,"('قتيل', 'جريح', 'هجوم')","('ناتو',)","('كابول', 'كابول')",
8,20140926_8160.txt,"('طالبان', 'طالبان')","('مقتل', 'هجمات', 'اجتاح', 'قتل')",,,
9,20170114_739.txt,"('داعش', 'داعش')","('يحرق', 'أحرق')","('منزل', 'منزل')",,
10,20180411_4597.txt,"('طالبان',)","('دمرت',)","('تماثيل بوذا',)",,
11,20140805_6137.txt,,"('قتل', 'اصابة', 'قتل')","('جنرال اميركي', 'جنرال اميركي')","('كابول',)",
12,20170421_7322.txt,"('طالبان',)","('قتل', 'هجوم', 'قتل')","('جنود', 'جنود')",,
13,20150514_4532.txt,,"('إنهاء حصار', 'قتل', 'هجوم')","('دار الضيافة', 'مواطن أمريكي')","('كابول',)",
14,20181104_1574.txt,,"('قتل', 'هجوم', 'قُتل')","('جندي أمريكي', 'جندي أمريكي')","('كابول',)",
15,20170319_3491.txt,"('جندي أفغاني',)","('إصابة', 'أصيبوا')","('جنود أمريكيين', 'جنود أمريكيين')",,"('اقليم هلمند',)"
16,20140223_1340.txt,,"('قتل', 'هجوم', 'قتل', 'هجوم')","('جندياً أفغانياً', 'جندياً أفغانياً')",,
17,20151028_10537.txt,"('القوات الأمنية الأفغانية',)","('قتل', 'عملية عسكرية', 'تصفية')","('مسلحا', 'مسلحا')",,
18,20140808_6226.txt,"('طالبان',)","('قتل', 'ل', 'اشتباكات')","('رجال الشرطة', 'رجال الشرطة')",,
19,20170308_3013.txt,,"('الهجوم ""الإرهابي""', 'الهجوم', 'استهدف')","('مستشفى عسكري', 'مستشفى عسكري')","('كابول',)",
20,20180129_1687.txt,"('داعش', 'داعش')","('هجوما',)","('قاعدة عسكرية',)","('كابول', 'كابول')",
21,20150730_6972.txt,"('طالبان', 'طالبان')","('وفاة', 'توفى')","('الملا عمر', 'الملا عمر')",,
22,20170521_6199.txt,"('طالبان',)","('قتل', 'هجوم')","('شرطيًا أفغانيًا', 'شرطيًّا')",,"('ولاية زابل',)"
23,20170222_2425.txt,,"('قتل', 'جرح', 'قتل', 'جرح')","('داعش', 'داعش')",,
24,20150226_2150.txt,"('طالبان', 'طالبان')","('انفجار', 'يستهدف')","('أمريكيين',)","('كابول',)",
25,20180321_4003.txt,,"('الهجوم الإرهابي', 'التفجير الإرهابي')","('جامعة كابول', 'جامعة كابول')",,
26,20141213_11149.txt,"('طالبان', 'طالبان')","('يقتلون', 'قتلت')","('عمال إزالة الألغام', 'عمال إزالة الألغام')",,
27,20140329_2363.txt,"('مسلحون', 'مسلحين')","('يهاجمون',)","('اللجنة الانتخابية',)","('كابول', 'كابول')",
28,20170207_1797.txt,,"('قتيل', 'هجوم انتحاري', 'قتل')","('المحكمة العليا',)","('كابول', 'كابول')",
29,20150809_7498.txt,"('طالبان', 'طالبان')","('تشنق', 'شنق')","('امرأة', 'امرأة')",,
30,20150629_5867.txt,"('طالبان', 'طالبان', 'طالبان')","('قتل', 'قتل', 'قتل')",,,
31,20180422_4965.txt,"('تنظيم داعش',)","('الهجوم الإرهابي', 'الهجوم', 'شنه')","('مركز لتسجيل الناخبين',)",,"('كابول',)"
32,20150705_6195.txt,"('طالبان', 'طالبان')","('هجوم', 'يستهدف')","('القوات الامنية الافغانية', 'الحكومة المركزية')",,
33,20151010_9734.txt,"('قوات الأفغانية', 'الناتو')","('قتل', 'إصابة')","('طالبان',)","('قندهار',)",
34,20120609_3124.txt,,"('قتل', 'اصابة', 'هجوم', 'قتل')","('جنود فرنسيين', 'جنود فرنسيين')",,
35,20150720_6606.txt,"('أميركية', 'حلف شمال الاطلسي')","('تودي بحياة', 'قتل')","('جنديا أفغاني', 'جنديا أفغاني')",,
36,20180124_1221.txt,,"('هجوم', 'هجوم', 'استهدف')","('منظمة حقوقية دولية',)","('جلال اباد', 'جلال اباد')",
37,20150703_6119.txt,"('القوات الباكستانية',)","('قصف', 'قصف')",,,"('إقليم /بكتيكا',)"
38,20170308_2947.txt,,"('مصرع', 'إصابة', 'هجوم', 'قتل', 'أصيب')","('مستشفى عسكري',)",,
39,20140810_6334.txt,,"('مصرع', 'هجوم انتحاري', 'مصرع')","('مدنيين', 'حلف الناتو', 'مدنيين')",,
40,20181007_317.txt,"('مسلحي حركة طالبان',)","('مقتل', 'مقتل', 'اشتباكات')","('عناصر الشرطة', 'رجال الشرطة')",,
41,20140506_3457.txt,"('القوات الأفغانية', 'السلطات الأمنية الافغانية')","('قتل', 'قتل')","('طالبان', 'طالبان')",,
42,20150716_6550.txt,,"('قتل', 'غارة جوية', 'غارة جوية', 'قتل')","('مسلحين', 'حقاني')",,
43,20150419_3815.txt,"('داعش', 'القاعدة', 'طالبان', 'داعش')","('الاعتداء الانتحاري', 'قتيلا')",,,
